<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AGHIGH,d,20230214,000000,50750,50750,50500,50500,4700
AGHIGH,d,20230215,000000,50500,50500,50400,50400,45991
AGHIGH,d,20230219,000000,51000,51000,50500,50500,15902
AGHIGH,d,20230220,000000,50800,53200,50800,52500,38062
AGHIGH,d,20230221,000000,54500,54500,52700,53500,48297
AGHIGH,d,20230222,000000,53200,53400,53200,53400,42536
AGHIGH,d,20230225,000000,54000,57950,54000,57800,170404
AGHIGH,d,20230226,000000,58300,59700,57980,59150,79810
AGHIGH,d,20230227,000000,59000,59800,58800,59800,28158
AGHIGH,d,20230228,000000,59500,60300,59400,59750,155318
AGHIGH,d,20230301,000000,61200,61500,59400,59400,83593
AGHIGH,d,20230304,000000,59400,59490,58650,59490,73580
AGHIGH,d,20230305,000000,59490,59490,58700,58700,16671
AGHIGH,d,20230306,000000,60390,60390,58400,59000,7200
AGHIGH,d,20230307,000000,60000,60000,59300,59900,16623
AGHIGH,d,20230311,000000,59600,60500,59450,59800,63970
AGHIGH,d,20230312,000000,59500,59500,59000,59010,37165
AGHIGH,d,20230313,000000,59100,59210,58800,58900,38212
AGHIGH,d,20230314,000000,59000,59060,58900,59000,62943
AGHIGH,d,20230315,000000,59000,60000,58650,60000,27391
AGHIGH,d,20230318,000000,62400,63280,62300,63280,18258
AGHIGH,d,20230319,000000,64500,66780,64000,65100,116358
AGHIGH,d,20230325,000000,66200,67400,66200,67400,15083
AGHIGH,d,20230326,000000,66200,67850,66200,67500,27318
AGHIGH,d,20230327,000000,66800,68600,66800,68600,13195
AGHIGH,d,20230328,000000,68710,70500,68700,70480,6559
AGHIGH,d,20230329,000000,70000,71000,69800,71000,19936
AGHIGH,d,20230403,000000,73590,73590,68560,71000,30411
AGHIGH,d,20230404,000000,72700,72700,70450,70450,22711
AGHIGH,d,20230405,000000,70000,71390,70000,71390,40289
AGHIGH,d,20230408,000000,72800,74600,71300,74490,31432
AGHIGH,d,20230409,000000,70910,76600,70910,76600,962935
AGHIGH,d,20230410,000000,77000,78500,74200,75550,56798
AGHIGH,d,20230411,000000,76200,76400,74600,76400,94879
AGHIGH,d,20230415,000000,78400,78400,76000,78200,32410
AGHIGH,d,20230416,000000,78500,80850,78500,80850,99229
AGHIGH,d,20230417,000000,81000,81800,80010,81780,49111
AGHIGH,d,20230418,000000,83000,84200,83000,83490,86075
